timestamp,open,high,low,close,volume
1609522200000,1.69340000,1.69550000,1.64020000,1.64510000,63518.29000000
1609523100000,1.64530000,1.67820000,1.61550000,1.67570000,71972.28000000
1609524000000,1.67790000,1.83270000,1.65940000,1.82160000,244568.66000000
1609524900000,1.81730000,1.81740000,1.72490000,1.73480000,206023.42000000
1609525800000,1.73430000,1.76740000,1.69610000,1.71920000,159586.62000000
1609526700000,1.71910000,1.75690000,1.69430000,1.75690000,120073.64000000
1609527600000,1.75370000,1.78500000,1.74510000,1.76860000,80487.77000000
1609528500000,1.76980000,1.81210000,1.76110000,1.79720000,61419.14000000
1609529400000,1.79590000,1.79740000,1.72300000,1.72970000,142751.17000000
1609530300000,1.72970000,1.74100000,1.71420000,1.72560000,88715.67000000
1609531200000,1.72600000,1.80000000,1.71420000,1.79660000,94144.09000000
1609532100000,1.79620000,1.81610000,1.76190000,1.77030000,120995.96000000
1609533000000,1.77030000,1.78840000,1.77030000,1.77260000,34797.54000000
1609533900000,1.77270000,1.77930000,1.76750000,1.76860000,38574.56000000
1609534800000,1.76800000,1.77150000,1.72860000,1.72930000,92836.86000000
1609535700000,1.72920000,1.74700000,1.72360000,1.73970000,53825.95000000
1609536600000,1.73740000,1.74700000,1.73460000,1.74520000,14437.94000000
1609537500000,1.74200000,1.77850000,1.73530000,1.76480000,61558.48000000
1609538400000,1.76480000,1.79560000,1.76190000,1.78580000,43458.22000000
1609539300000,1.78580000,1.78800000,1.76670000,1.77030000,31589.90000000
1609540200000,1.77370000,1.78910000,1.77370000,1.78330000,12693.14000000
1609541100000,1.77980000,1.81110000,1.77570000,1.80380000,27259.11000000
1609542000000,1.80700000,1.80700000,1.78570000,1.79900000,25980.02000000
1609542900000,1.79900000,1.85300000,1.79700000,1.82060000,128969.39000000
1609543800000,1.82080000,1.86000000,1.81500000,1.85050000,64677.33000000
1609544700000,1.85030000,1.85380000,1.83140000,1.84210000,28820.67000000
1609545600000,1.84210000,1.84950000,1.79230000,1.79500000,74386.11000000
1609546500000,1.79770000,1.80320000,1.72640000,1.73040000,105933.49000000
1609547400000,1.72820000,1.82040000,1.72440000,1.78000000,152714.46000000
1609548300000,1.77790000,1.82990000,1.75960000,1.77830000,88315.93000000
1609549200000,1.77830000,1.77980000,1.73670000,1.74020000,45279.42000000
1609550100000,1.73730000,1.79420000,1.73720000,1.74130000,101856.00000000
1609551000000,1.74310000,1.78860000,1.74310000,1.78750000,42839.69000000
1609551900000,1.78160000,1.85890000,1.77860000,1.84780000,127821.02000000
1609552800000,1.84790000,1.84960000,1.83130000,1.83740000,38977.15000000
1609553700000,1.83860000,1.87140000,1.83850000,1.86600000,82855.09000000
1609554600000,1.86600000,1.90190000,1.81510000,1.83480000,184043.18000000
1609555500000,1.82910000,1.83780000,1.81020000,1.81580000,43781.62000000
1609556400000,1.81580000,1.84160000,1.80780000,1.83820000,43218.03000000
1609557300000,1.83800000,1.90710000,1.83520000,1.89500000,108355.28000000
1609558200000,1.89510000,1.89890000,1.84710000,1.85690000,52327.58000000
1609559100000,1.85690000,1.87590000,1.85660000,1.86140000,17757.31000000
1609560000000,1.86320000,1.86330000,1.84300000,1.84300000,10624.83000000
1609560900000,1.84290000,1.84990000,1.82500000,1.84340000,18951.73000000
1609561800000,1.84230000,1.84300000,1.81890000,1.82620000,25293.95000000
1609562700000,1.82210000,1.84950000,1.82110000,1.83560000,54473.63000000
1609563600000,1.83140000,1.84120000,1.82850000,1.83520000,45113.31000000
1609564500000,1.83350000,1.84000000,1.82560000,1.83030000,21188.69000000
1609565400000,1.82790000,1.82790000,1.79420000,1.79450000,65504.90000000
1609566300000,1.79440000,1.80180000,1.78600000,1.79280000,30028.84000000
1609567200000,1.79110000,1.81500000,1.79100000,1.80160000,33189.90000000
1609568100000,1.80180000,1.80320000,1.79280000,1.79440000,18350.12000000
1609569000000,1.79410000,1.79470000,1.77180000,1.77580000,28183.20000000
1609569900000,1.77330000,1.80170000,1.76310000,1.76610000,92032.32000000
1609570800000,1.76760000,1.78320000,1.76250000,1.76270000,33731.97000000
1609571700000,1.76520000,1.77910000,1.76270000,1.76570000,13379.52000000
1609572600000,1.76570000,1.76690000,1.76110000,1.76470000,16903.88000000
1609573500000,1.76470000,1.78750000,1.74530000,1.75230000,111831.18000000
1609574400000,1.75260000,1.76880000,1.74920000,1.75310000,67394.60000000
1609575300000,1.75110000,1.76070000,1.74550000,1.75580000,23377.07000000
1609576200000,1.75630000,1.78350000,1.75630000,1.77510000,48773.32000000
1609577100000,1.77660000,1.78590000,1.74750000,1.75910000,56653.31000000
1609578000000,1.76230000,1.76940000,1.74140000,1.75780000,39073.56000000
1609578900000,1.75730000,1.79540000,1.75580000,1.76040000,57864.92000000
1609579800000,1.76080000,1.76420000,1.72760000,1.73200000,54738.58000000
1609580700000,1.73200000,1.74990000,1.72140000,1.72150000,41192.81000000
1609581600000,1.72150000,1.74990000,1.71580000,1.74050000,21833.89000000
